Naturalistic Obsercation Songs,Artist,BPM,No Artist Listed,Genre (r),Unnamed: 5,Key,Loudness (dB),Rhythm,genre_clean
Oh La La ,Justine Skye and Kaytranada,120.0,,pop,,D Major,-9.0,4/4,pop
Millionaire, Andre 3000 and Kelis,176.0,,r&b,,B Major,-7.0,4/4,r&b
Inferno ,JMSN,125.0,,r&b,,C# Major,-5.0,4/4,r&b
Come Together ,The Internet,96.0,,soul,,C Minor,-8.0,4/4,r&b
I'm a Rock,Jitwam,111.0,,soul,,C# Major,-7.0,4/4,r&b
Same Damn Time ,Future,70.0,,trap,,B Major,-5.0,4/4,hip hop
Clarity ,Zedd,128.0,,house,,Ab Major,-3.0,4/4,electronic
Hot in Herre ,Nelly,107.0,,pop,,B Minor,-5.0,4/4,pop
505,Arctic Monkeys,140.0,,rock,,C Major,-6.0,4/4,metal/rock
Come Together ,The Beatles,84.0,,rock,,A Minor,-12.0,4/4,metal/rock
Valerie ,Amy Winehouse,214.0,,soul,,F Minor,-8.0,4/4,r&b
Tongue Tied ,Grouplove,113.0,,indie,,Eb Major,-6.0,4/4,indie
party ,Bad Bunny,97.0,,reggaeton,,A Major,-5.0,4/4,latin music
titi me pregunto ,Bad Bunny,107.0,,reggaeton,,F Minor,-5.0,4/4,latin music
Exesos ,Fuerza Regida,83.0,,regional mexicano,,C Minor,-6.0,3/4,latin music
Que pasaria,Rauw Alejandro,105.0,,reggaeton,,B Minor,-4.0,4/4,latin music
lokera ,Rauw Alejandro,102.0,,reggaeton,,B Minor,-3.0,4/4,latin music
la bebe ,Peso Pluma,170.0,,reggaeton,,D Minor,-6.0,4/4,latin music
Vamo a bailotear ,Cris Mj,98.0,,reggaeton,,F# Minor,-11.0,4/4,latin music
Tacata ,Fuerza Regida,105.0,,regional mexicano,,A Major,-6.0,4/4,latin music
Voy a llevarte pa PR ,Bad Bunny,120.0,,reggaeton,,G Major,-35.0,4/4,latin music
Nuevayol ,Bad Bunny,118.0,,reggaeton,,F# Major,-20.0,4/4,latin music
Rabiosa ,Shakira,133.0,,latin,,,-5.0,,latin music
Time of our lives ,Pitbull,124.0,,latin,,F# Major,-14.0,,latin music
Nuevayol ,Bad Bunny,118.0,,latin,,F# Major,-20.0,4/4,latin music
No Hands,Waka Flaka,132.0,,hip hop,,,-10.0,,hip hop
Maneater,Nelly,133.0,,pop,,,-7.0,,pop
Sateside,Pink Panterss,123.0,,pop,,,-6.0,,pop
EoO,Bad Bunny,102.0,,latin,,,-30.0,,latin music
